;City;Price [PLN];Price/sqr_meter [PLN];Area [m^2];Rooms;Level
7185;Cracow;566480.0;8000.0;70.81;5.0;0.0
7187;Cracow;520000.0;9286.0;56.0;3.0;3.0
7188;Cracow;1650000.0;8247.0;200.07;7.0;0.0
7189;Cracow;699000.0;10922.0;64.0;3.0;2.0
7190;Cracow;576290.0;11000.0;52.39;3.0;3.0
7191;Cracow;733447.0;14300.0;51.29;2.0;2.0
7192;Cracow;755000.0;15446.0;48.88;2.0;1.0
7193;Cracow;559000.0;10854.0;51.5;3.0;3.0
7195;Cracow;625000.0;11241.0;55.6;2.0;1.0
7196;Cracow;485000.0;11769.0;41.21;2.0;2.0
7197;Cracow;499000.0;8139.0;61.31;3.0;3.0
7229;Cracow;630000.0;12000.0;52.5;2.0;6.0
7230;Cracow;445000.0;9674.0;46.0;2.0;2.0
7231;Cracow;330000.0;18333.0;18.0;1.0;5.0
7232;Cracow;821600.0;14190.0;57.9;3.0;3.0
7262;Cracow;500000.0;9063.0;55.17;2.0;1.0
7263;Cracow;410000.0;12349.0;33.2;2.0;2.0
7264;Cracow;685000.0;12158.0;56.34;3.0;0.0
7265;Cracow;490000.0;14848.0;33.0;1.0;2.0
7266;Cracow;795000.0;10978.0;72.42;4.0;0.0
7267;Cracow;370000.0;12333.0;30.0;2.0;1.0
7268;Cracow;659000.0;12552.0;52.5;4.0;1.0
7270;Cracow;525000.0;18953.0;27.7;1.0;1.0
7271;Cracow;649000.0;10062.0;64.5;3.0;0.0
7272;Cracow;648000.0;12000.0;54.0;3.0;1.0
7273;Cracow;520000.0;10766.0;48.3;3.0;3.0
7275;Cracow;719140.0;13293.0;54.1;3.0;1.0
7276;Cracow;499000.0;14976.0;33.32;1.0;4.0
7277;Cracow;1400000.0;16279.0;86.0;3.0;2.0
7278;Cracow;369900.0;11209.0;33.0;2.0;0.0
7279;Cracow;979000.0;8751.0;111.87;4.0;1.0
7280;Cracow;649000.0;9780.0;66.36;3.0;0.0
7281;Cracow;550000.0;10709.0;51.36;3.0;6.0
7282;Cracow;399999.0;12446.0;32.14;1.0;0.0
7284;Cracow;840000.0;12785.0;65.7;3.0;2.0
7286;Cracow;1099000.0;11691.0;94.0;4.0;1.0
7287;Cracow;749000.0;11908.0;62.9;4.0;3.0
7288;Cracow;359000.0;12169.0;29.5;1.0;2.0
7261;Cracow;530000.0;11778.0;45.0;2.0;4.0
7171;Cracow;303820.0;11000.0;27.62;1.0;0.0
7260;Cracow;1990000.0;15608.0;127.5;6.0;1.0
7258;Cracow;520000.0;9811.0;53.0;3.0;4.0
7233;Cracow;899000.0;10963.0;82.0;4.0;0.0
7234;Cracow;420000.0;11351.0;37.0;2.0;1.0
7235;Cracow;608000.0;14829.0;41.0;2.0;2.0
7236;Cracow;836806.0;14183.0;59.0;3.0;2.0
7237;Cracow;800000.0;13498.0;59.27;3.0;1.0
7238;Cracow;620000.0;9920.0;62.5;3.0;3.0
7239;Cracow;821600.0;14190.0;57.9;3.0;2.0
7240;Cracow;600000.0;13793.0;43.5;2.0;4.0
7241;Cracow;509000.0;7271.0;70.0;3.0;1.0
7243;Cracow;500000.0;9747.0;51.3;2.0;0.0
7244;Cracow;699000.0;13980.0;50.0;3.0;0.0
7245;Cracow;485000.0;11279.0;43.0;2.0;7.0
7246;Cracow;689000.0;10937.0;63.0;3.0;0.0
7247;Cracow;495000.0;10000.0;49.5;3.0;1.0
7248;Cracow;454000.0;12789.0;35.5;1.0;4.0
7249;Cracow;488000.0;13943.0;35.0;2.0;0.0
7250;Cracow;639000.0;14503.0;44.06;2.0;4.0
7252;Cracow;1299000.0;17795.0;73.0;2.0;0.0
7253;Cracow;350000.0;11808.0;29.64;1.0;0.0
7254;Cracow;430000.0;11510.0;37.36;2.0;0.0
7255;Cracow;495000.0;9519.0;52.0;2.0;4.0
7256;Cracow;465000.0;9688.0;48.0;3.0;1.0
7257;Cracow;432250.0;9500.0;45.5;3.0;10.0
7259;Cracow;698400.0;14860.0;47.0;2.0;1.0
7289;Cracow;545000.0;12976.0;42.0;1.0;3.0
7170;Cracow;530000.0;11205.0;47.3;2.0;4.0
7168;Cracow;370000.0;16087.0;23.0;1.0;0.0
7089;Cracow;549000.0;11681.0;47.0;2.0;0.0
7090;Cracow;549000.0;11102.0;49.45;2.0;1.0
7091;Cracow;555000.0;12614.0;44.0;3.0;9.0
7092;Cracow;649000.0;12725.0;51.0;2.0;0.0
7093;Cracow;559000.0;12152.0;46.0;2.0;2.0
7094;Cracow;1079000.0;9899.0;109.0;4.0;2.0
7095;Cracow;520000.0;9282.0;56.02;3.0;8.0
7096;Cracow;618423.0;10100.0;61.23;3.0;0.0
7097;Cracow;720000.0;13309.0;54.1;3.0;2.0
7098;Cracow;1190000.0;16482.0;72.2;2.0;0.0
7088;Cracow;195000.0;10833.0;18.0;1.0;0.0
7099;Cracow;195000.0;9242.0;21.1;1.0;1.0
7101;Cracow;760000.0;15200.0;50.0;2.0;4.0
7102;Cracow;715000.0;10833.0;66.0;3.0;1.0
7103;Cracow;519093.0;12263.0;42.33;2.0;3.0
7104;Cracow;1174230.0;13500.0;86.98;4.0;9.0
7105;Cracow;785000.0;11214.0;70.0;4.0;4.0
7106;Cracow;550000.0;9167.0;60.0;3.0;0.0
7107;Cracow;299000.0;12669.0;23.6;1.0;3.0
