;City;Price [PLN];Price/sqr_meter [PLN];Area [m^2];Rooms;Level
6041;Gdansk;559000.0;9947.0;56.2;3.0;1.0
6042;Gdansk;910000.0;17843.0;51.0;2.0;8.0
6043;Gdansk;669000.0;13380.0;50.0;3.0;4.0
6044;Gdansk;445000.0;13485.0;33.0;1.0;3.0
6045;Gdansk;369000.0;13667.0;27.0;1.0;3.0
6046;Gdansk;567000.0;10309.0;55.0;3.0;1.0
6047;Gdansk;499000.0;12135.0;41.12;2.0;1.0
6048;Gdansk;870000.0;12870.0;67.6;3.0;2.0
6049;Gdansk;549000.0;8512.0;64.5;3.0;2.0
6050;Gdansk;559011.0;9700.0;57.63;3.0;3.0
1278;Gdansk;550000.0;8972.27;61.3;3.0;4.0
1279;Gdansk;629000.0;11172.29;56.3;3.0;2.0
1280;Gdansk;629500.0;13988.89;45.0;2.0;4.0
1281;Gdansk;780000.0;12000.0;65.0;3.0;1.0
1352;Gdansk;799000.0;10243.59;78.0;2.0;1.0
1342;Gdansk;740000.0;11746.03;63.0;3.0;0.0
1341;Gdansk;419000.0;13819.26;30.32;1.0;5.0
1337;Gdansk;460000.0;8518.52;54.0;3.0;0.0
1333;Gdansk;305000.0;12815.13;23.8;1.0;2.0
1332;Gdansk;799000.0;12387.6;64.5;3.0;3.0
1331;Gdansk;780000.0;18139.53;43.0;2.0;6.0
1330;Gdansk;489000.0;9878.79;49.5;2.0;1.0
1325;Gdansk;435000.0;14500.0;30.0;1.0;3.0
1324;Gdansk;430000.0;9619.69;44.7;2.0;0.0
1321;Gdansk;459000.0;9386.5;48.9;2.0;4.0
1312;Gdansk;499000.0;12135.21;41.12;2.0;1.0
1311;Gdansk;486500.0;8112.39;59.97;3.0;3.0
6051;Gdansk;483075.0;9500.0;50.85;2.0;0.0
1310;Gdansk;334000.0;9507.54;35.13;2.0;0.0
1305;Gdansk;489000.0;9721.67;50.3;2.0;0.0
1303;Gdansk;342000.0;11991.58;28.52;1.0;0.0
1300;Gdansk;528000.0;13124.53;40.23;2.0;3.0
1299;Gdansk;336500.0;9753.62;34.5;2.0;0.0
1298;Gdansk;580000.0;7593.61;76.38;1.0;2.0
1297;Gdansk;333000.0;13991.6;23.8;1.0;3.0
1295;Gdansk;1290000.0;17541.47;73.54;3.0;1.0
1288;Gdansk;1056000.0;11000.0;96.0;4.0;3.0
1286;Gdansk;850000.0;18478.26;46.0;2.0;4.0
1285;Gdansk;699000.0;10264.32;68.1;3.0;1.0
1284;Gdansk;1290000.0;18603.98;69.34;3.0;2.0
1283;Gdansk;520000.0;12206.57;42.6;2.0;0.0
1282;Gdansk;575000.0;13690.48;42.0;2.0;3.0
1309;Gdansk;344000.0;8998.17;38.23;2.0;0.0
1356;Gdansk;519000.0;13657.89;38.0;2.0;3.0
6052;Gdansk;1020000.0;14266.0;71.5;3.0;3.0
6054;Gdansk;588000.0;10478.0;56.12;3.0;5.0
6039;Gdansk;755000.0;18149.0;41.6;2.0;10.0
6038;Gdansk;1199000.0;15293.0;78.4;4.0;2.0
6037;Gdansk;530000.0;13947.0;38.0;2.0;4.0
6036;Gdansk;625000.0;10917.0;57.25;3.0;2.0
6035;Gdansk;599000.0;14975.0;40.0;2.0;1.0
6034;Gdansk;1190000.0;16380.0;72.65;3.0;7.0
6032;Gdansk;365000.0;10735.0;34.0;1.0;2.0
6031;Gdansk;485000.0;10778.0;45.0;3.0;0.0
6030;Gdansk;565000.0;11531.0;49.0;2.0;3.0
6029;Gdansk;529000.0;12161.0;43.5;2.0;3.0
6028;Gdansk;420000.0;11053.0;38.0;2.0;2.0
6027;Gdansk;495000.0;15679.0;31.57;1.0;4.0
6026;Gdansk;610000.0;11338.0;53.8;3.0;1.0
6025;Gdansk;560000.0;9211.0;60.8;3.0;0.0
6024;Gdansk;639000.0;9247.0;69.1;3.0;3.0
6023;Gdansk;441500.0;8533.0;51.74;3.0;3.0
6022;Gdansk;1340000.0;16996.0;78.84;3.0;4.0
6020;Gdansk;380835.0;9100.0;41.85;2.0;1.0
6019;Gdansk;920129.76;10098.0;91.12;5.0;1.0
6018;Gdansk;449000.0;10978.0;40.9;2.0;6.0
6017;Gdansk;399000.0;6467.0;61.7;2.0;1.0
6016;Gdansk;428310.0;9000.0;47.59;2.0;0.0
6015;Gdansk;337000.0;8774.0;38.41;2.0;3.0
6014;Gdansk;458568.0;8800.0;52.11;4.0;3.0
6013;Gdansk;789000.0;19216.0;41.06;2.0;2.0
6012;Gdansk;565000.0;8889.0;63.56;3.0;4.0
6011;Gdansk;310000.0;13766.0;22.52;1.0;0.0
6040;Gdansk;349900.0;6430.0;54.42;2.0;2.0
6089;Gdansk;1327000.0;16159.0;82.12;4.0;10.0
6088;Gdansk;645000.0;8909.0;72.4;4.0;4.0
6087;Gdansk;905000.0;13514.0;66.97;3.0;2.0
6055;Gdansk;1330000.0;36944.0;36.0;2.0;1.0
6056;Gdansk;1120000.0;20000.0;56.0;2.0;1.0
6058;Gdansk;1100000.0;15238.0;72.19;3.0;2.0
6059;Gdansk;1100000.0;32042.0;34.33;1.0;5.0
6653;Gdansk;198476.0;5900.0;33.64;2.0;3.0
6061;Gdansk;750000.0;14423.0;52.0;3.0;2.0
6062;Gdansk;500000.0;10965.0;45.6;2.0;3.0
6063;Gdansk;379000.0;12226.0;31.0;2.0;2.0
6064;Gdansk;359000.0;10257.0;35.0;2.0;0.0
6065;Gdansk;620000.0;12917.0;48.0;2.0;2.0
6066;Gdansk;899000.0;12088.0;74.37;4.0;0.0
6068;Gdansk;720000.0;16744.0;43.0;2.0;10.0
6069;Gdansk;724000.0;18669.0;38.78;2.0;7.0
6053;Gdansk;1100000.0;17558.0;62.65;3.0;1.0
6070;Gdansk;650000.0;13000.0;50.0;4.0;2.0
6073;Gdansk;599000.0;13552.0;44.2;2.0;4.0
6074;Gdansk;545000.0;12031.0;45.3;2.0;1.0
6075;Gdansk;459000.0;12079.0;38.0;2.0;9.0
6076;Gdansk;840000.0;21000.0;40.0;2.0;5.0
6077;Gdansk;850000.0;13158.0;64.6;3.0;0.0
6078;Gdansk;519000.0;11339.0;45.77;2.0;3.0
6079;Gdansk;389000.0;10275.0;37.86;1.0;2.0
6080;Gdansk;499000.0;13132.0;38.0;3.0;2.0
6081;Gdansk;411000.0;9786.0;42.0;2.0;2.0
6082;Gdansk;870000.0;15818.0;55.0;2.0;1.0
6083;Gdansk;499000.0;8262.0;60.4;2.0;2.0
6084;Gdansk;2150000.0;18376.0;117.0;4.0;3.0
6085;Gdansk;949000.0;17255.0;55.0;3.0;6.0
6072;Gdansk;316500.0;8633.0;36.66;2.0;1.0
6010;Gdansk;619000.0;9770.0;63.36;3.0;1.0
1361;Gdansk;388500.0;10500.0;37.0;2.0;0.0
1366;Gdansk;789000.0;13041.32;60.5;4.0;3.0
1648;Gdansk;900000.0;30000.0;30.0;2.0;3.0
1647;Gdansk;3075000.0;30147.06;102.0;4.0;2.0
1646;Gdansk;517000.0;13786.67;37.5;1.0;3.0
1645;Gdansk;319000.0;10290.32;31.0;1.0;11.0
1644;Gdansk;540000.0;14380.83;37.55;2.0;6.0
1643;Gdansk;750000.0;10431.15;71.9;3.0;3.0
1642;Gdansk;599000.0;14975.0;40.0;2.0;5.0
1639;Gdansk;618000.0;9967.74;62.0;4.0;1.0
1638;Gdansk;585000.0;18870.97;31.0;2.0;3.0
1637;Gdansk;695000.0;9316.35;74.6;4.0;1.0
1636;Gdansk;459000.0;11769.23;39.0;2.0;2.0
1632;Gdansk;489000.0;9979.59;49.0;2.0;2.0
1631;Gdansk;410000.0;12005.86;34.15;2.0;3.0
1627;Gdansk;528000.0;13200.0;40.0;2.0;1.0
1623;Gdansk;350000.0;12962.96;27.0;1.0;1.0
1619;Gdansk;665000.0;9925.37;67.0;3.0;2.0
1615;Gdansk;599900.0;8139.76;73.7;4.0;0.0
1614;Gdansk;1400000.0;17031.63;82.2;3.0;10.0
1608;Gdansk;539000.0;12863.96;41.9;2.0;1.0
1607;Gdansk;479000.0;10413.04;46.0;2.0;1.0
1604;Gdansk;599000.0;11980.0;50.0;2.0;2.0
1603;Gdansk;479000.0;11975.0;40.0;2.0;4.0
1602;Gdansk;619000.0;13226.5;46.8;3.0;3.0
1598;Gdansk;599000.0;8940.3;67.0;3.0;3.0
1597;Gdansk;349000.0;8585.49;40.65;2.0;4.0
1596;Gdansk;750000.0;10416.67;72.0;4.0;0.0
1590;Gdansk;360000.0;10557.18;34.1;1.0;4.0
1649;Gdansk;315000.0;5250.0;60.0;3.0;3.0
1650;Gdansk;288000.0;8727.27;33.0;2.0;1.0
1651;Gdansk;419000.0;6983.33;60.0;3.0;3.0
1652;Gdansk;388000.0;8083.33;48.0;2.0;1.0
1686;Gdansk;317340.0;6000.0;52.89;3.0;0.0
1685;Gdansk;330000.0;6423.98;51.37;3.0;3.0
1684;Gdansk;299000.0;9060.61;33.0;2.0;3.0
1683;Gdansk;222507.0;6700.0;33.21;2.0;2.0
1682;Gdansk;210000.0;3500.0;60.0;2.0;0.0
1681;Gdansk;125000.0;2291.9;54.54;2.0;0.0
1677;Gdansk;409000.0;7175.44;57.0;3.0;1.0
1676;Gdansk;230000.0;6052.63;38.0;2.0;3.0
1675;Gdansk;365000.0;7651.99;47.7;2.0;0.0
1674;Gdansk;445000.0;13993.71;31.8;2.0;0.0
1673;Gdansk;1700000.0;15044.25;113.0;4.0;1.0
1672;Gdansk;1590000.0;28581.7;55.63;3.0;0.0
1671;Gdansk;315000.0;3937.5;80.0;4.0;1.0
1587;Gdansk;535000.0;12159.09;44.0;2.0;0.0
1670;Gdansk;155000.0;2870.37;54.0;2.0;1.0
1668;Gdansk;297000.0;10171.23;29.2;1.0;4.0
1667;Gdansk;360000.0;8333.33;43.2;2.0;4.0
1666;Gdansk;285000.0;9193.55;31.0;2.0;0.0
1665;Gdansk;410000.0;6406.25;64.0;3.0;0.0
1661;Gdansk;455000.0;7315.11;62.2;2.0;1.0
1660;Gdansk;495000.0;8250.0;60.0;3.0;0.0
1659;Gdansk;67000.0;1109.27;60.4;3.0;1.0
1658;Gdansk;399000.0;7254.55;55.0;3.0;1.0
1657;Gdansk;850000.0;11333.33;75.0;3.0;0.0
1656;Gdansk;266000.0;9172.41;29.0;1.0;0.0
1655;Gdansk;704000.0;8000.0;88.0;4.0;2.0
1654;Gdansk;399000.0;6975.52;57.2;3.0;4.0
1653;Gdansk;349000.0;9971.43;35.0;2.0;3.0
1669;Gdansk;325000.0;6500.0;50.0;3.0;1.0
1365;Gdansk;525000.0;18884.89;27.8;1.0;4.0
1586;Gdansk;373690.0;9643.61;38.75;2.0;2.0
1579;Gdansk;439000.0;12687.86;34.6;1.0;1.0
1438;Gdansk;639000.0;14200.0;45.0;2.0;3.0
1434;Gdansk;749000.0;10715.31;69.9;3.0;3.0
1433;Gdansk;750000.0;14705.88;51.0;3.0;3.0
1429;Gdansk;626326.0;13615.78;46.0;2.0;11.0
1428;Gdansk;299988.0;9090.55;33.0;2.0;2.0
1427;Gdansk;608106.0;10668.53;57.0;2.0;11.0
1426;Gdansk;457776.0;8031.16;57.0;3.0;2.0
1425;Gdansk;729000.0;11215.38;65.0;3.0;4.0
1414;Gdansk;490000.0;16333.33;30.0;2.0;5.0
1413;Gdansk;598000.0;12204.08;49.0;2.0;4.0
1412;Gdansk;535000.0;11522.72;46.43;2.0;0.0
1409;Gdansk;494500.0;11500.0;43.0;2.0;0.0
1406;Gdansk;699999.0;11419.23;61.3;3.0;9.0
1401;Gdansk;628000.0;8971.43;70.0;3.0;3.0
1400;Gdansk;607000.0;17594.2;34.5;2.0;2.0
1396;Gdansk;499000.0;10352.7;48.2;2.0;2.0
1395;Gdansk;410000.0;12713.18;32.25;1.0;5.0
1391;Gdansk;910000.0;14218.75;64.0;3.0;2.0
1390;Gdansk;410000.0;10250.0;40.0;2.0;0.0
1386;Gdansk;1550000.0;20666.67;75.0;4.0;0.0
1377;Gdansk;1200000.0;16000.0;75.0;4.0;2.0
1376;Gdansk;475000.0;9595.96;49.5;2.0;1.0
1375;Gdansk;465000.0;7369.26;63.1;3.0;2.0
1374;Gdansk;910000.0;14444.44;63.0;3.0;0.0
1373;Gdansk;767000.0;17431.82;44.0;2.0;4.0
1372;Gdansk;599000.0;13311.11;45.0;2.0;3.0
1371;Gdansk;430000.0;12285.71;35.0;1.0;1.0
1442;Gdansk;560000.0;11618.26;48.2;2.0;2.0
1443;Gdansk;530000.0;18888.1;28.06;1.0;1.0
1449;Gdansk;471500.0;9142.91;51.57;3.0;3.0
1458;Gdansk;985000.0;12960.53;76.0;4.0;4.0
1572;Gdansk;585000.0;11770.62;49.7;3.0;2.0
1563;Gdansk;580000.0;9650.58;60.1;3.0;4.0
1562;Gdansk;325000.0;11206.9;29.0;2.0;3.0
1559;Gdansk;475000.0;10171.31;46.7;2.0;3.0
1555;Gdansk;358000.0;8343.04;42.91;2.0;0.0
1551;Gdansk;349000.0;8819.81;39.57;2.0;4.0
1547;Gdansk;462000.0;16500.0;28.0;1.0;4.0
1546;Gdansk;489000.0;9979.59;49.0;2.0;0.0
1542;Gdansk;499000.0;13131.58;38.0;2.0;2.0
1541;Gdansk;1427000.0;11554.66;123.5;4.0;1.0
1540;Gdansk;1427000.0;13500.47;105.7;4.0;0.0
1539;Gdansk;599000.0;8940.3;67.0;2.0;2.0
1538;Gdansk;329000.0;11750.0;28.0;2.0;0.0
1583;Gdansk;450000.0;17307.69;26.0;1.0;2.0
1534;Gdansk;385500.0;13767.86;28.0;1.0;1.0
1518;Gdansk;661000.0;13489.8;49.0;3.0;3.0
1514;Gdansk;680000.0;10164.42;66.9;3.0;2.0
1511;Gdansk;880000.0;17254.9;51.0;2.0;4.0
1507;Gdansk;970000.0;13108.11;74.0;4.0;2.0
1496;Gdansk;340000.0;20000.0;17.0;1.0;7.0
1492;Gdansk;609000.0;17400.0;35.0;3.0;0.0
1486;Gdansk;1600000.0;20000.0;80.0;3.0;3.0
1480;Gdansk;350000.0;12068.97;29.0;1.0;2.0
1479;Gdansk;799000.0;15922.68;50.18;2.0;3.0
1478;Gdansk;420000.0;10000.0;42.0;2.0;8.0
1474;Gdansk;450000.0;10975.61;41.0;1.0;6.0
1468;Gdansk;642250.0;12495.14;51.4;3.0;2.0
1464;Gdansk;560000.0;17777.78;31.5;2.0;9.0
1530;Gdansk;190000.0;3454.55;55.0;2.0;1.0
6009;Gdansk;549000.0;7320.0;75.0;3.0;4.0
6060;Gdansk;399000.0;8489.0;47.0;2.0;4.0
6007;Gdansk;659000.0;13729.0;48.0;2.0;1.0
5844;Gdansk;599000.0;13614.0;44.0;2.0;3.0
5843;Gdansk;695000.0;11983.0;58.0;2.0;1.0
5842;Gdansk;1000000.0;18868.0;53.0;2.0;1.0
5841;Gdansk;450000.0;14313.0;31.44;2.0;4.0
5840;Gdansk;1279900.0;18339.0;69.79;3.0;2.0
5839;Gdansk;525000.0;10669.0;49.21;2.0;3.0
5838;Gdansk;599600.0;14624.0;41.0;2.0;1.0
5837;Gdansk;772128.0;14400.0;53.62;3.0;2.0
5836;Gdansk;860000.0;13231.0;65.0;3.0;10.0
5835;Gdansk;489000.0;12411.0;39.4;3.0;2.0
5834;Gdansk;772128.0;13087.0;59.0;3.0;5.0
5833;Gdansk;574000.0;8567.0;67.0;3.0;3.0
5832;Gdansk;660000.0;14043.0;47.0;3.0;0.0
5831;Gdansk;669000.0;9077.0;73.7;4.0;3.0
5830;Gdansk;595000.0;10000.0;59.5;3.0;2.0
5829;Gdansk;490000.0;10316.0;47.5;2.0;3.0
5828;Gdansk;999000.0;14478.0;69.0;3.0;9.0
5827;Gdansk;380000.0;7024.0;54.1;2.0;1.0
5826;Gdansk;625000.0;10417.0;60.0;3.0;0.0
5825;Gdansk;749000.0;18544.0;40.39;2.0;0.0
5824;Gdansk;394000.0;12710.0;31.0;1.0;2.0
5823;Gdansk;658000.0;11153.0;59.0;3.0;0.0
5822;Gdansk;685000.0;12145.0;56.4;3.0;0.0
6008;Gdansk;764000.0;12382.0;61.7;3.0;1.0
5820;Gdansk;319000.0;10290.0;31.0;1.0;10.0
5819;Gdansk;525000.0;10736.0;48.9;2.0;1.0
5818;Gdansk;999000.0;11090.0;90.08;4.0;2.0
5845;Gdansk;735000.0;17093.0;43.0;2.0;10.0
5817;Gdansk;495000.0;10227.0;48.4;2.0;4.0
5846;Gdansk;880000.0;13333.0;66.0;3.0;1.0
5848;Gdansk;960000.0;19855.0;48.35;3.0;1.0
5875;Gdansk;740000.0;10207.0;72.5;3.0;2.0
5874;Gdansk;650000.0;9939.0;65.4;3.0;3.0
5873;Gdansk;511363.28;8273.0;61.81;3.0;2.0
5872;Gdansk;528000.0;13125.0;40.23;2.0;3.0
5871;Gdansk;599000.0;11388.0;52.6;3.0;0.0
5870;Gdansk;635000.0;10583.0;60.0;3.0;3.0
5869;Gdansk;477000.0;10507.0;45.4;2.0;2.0
5868;Gdansk;513506.0;8600.0;59.71;3.0;1.0
5867;Gdansk;580000.0;10943.0;53.0;3.0;0.0
5866;Gdansk;527085.0;8500.0;62.01;3.0;1.0
5865;Gdansk;861702.41;7871.0;109.48;5.0;3.0
5864;Gdansk;595000.0;7732.0;76.95;3.0;2.0
5863;Gdansk;440412.49;8402.0;52.42;3.0;1.0
5862;Gdansk;1280000.0;27826.0;46.0;2.0;1.0
5861;Gdansk;996000.0;7781.0;128.0;5.0;3.0
5860;Gdansk;529482.0;8700.0;60.86;3.0;1.0
5859;Gdansk;380000.0;12258.0;31.0;1.0;0.0
5858;Gdansk;481000.0;8286.0;58.05;2.0;0.0
5857;Gdansk;599000.0;11930.0;50.21;3.0;1.0
5856;Gdansk;575000.0;10849.0;53.0;3.0;2.0
5855;Gdansk;565000.0;9741.0;58.0;3.0;2.0
5854;Gdansk;1722000.0;40404.0;42.62;1.0;1.0
5853;Gdansk;1099000.0;11585.0;94.86;4.0;0.0
5852;Gdansk;495000.0;13026.0;38.0;3.0;3.0
5851;Gdansk;499000.0;12620.0;39.54;2.0;3.0
5850;Gdansk;271090.0;9097.0;29.8;1.0;0.0
5849;Gdansk;749000.0;11814.0;63.4;3.0;0.0
5847;Gdansk;605005.2;10520.0;57.51;3.0;0.0
5816;Gdansk;670000.0;11167.0;60.0;3.0;1.0
5815;Gdansk;999000.0;18673.0;53.5;2.0;0.0
5814;Gdansk;629000.0;8512.0;73.9;3.0;4.0
6682;Gdansk;409000.0;8514.0;48.04;2.0;1.0
6681;Gdansk;429000.0;7666.0;55.96;3.0;0.0
6680;Gdansk;379000.0;8430.0;44.96;2.0;1.0
6679;Gdansk;389000.0;8464.0;45.96;2.0;0.0
6678;Gdansk;549000.0;6756.0;81.26;3.0;2.0
6677;Gdansk;579000.0;7612.0;76.06;4.0;0.0
6676;Gdansk;455000.0;7935.0;57.34;3.0;0.0
6675;Gdansk;465000.0;7583.0;61.32;3.0;2.0
6674;Gdansk;389000.0;8464.0;45.96;2.0;1.0
6673;Gdansk;449000.0;7830.0;57.34;3.0;1.0
6672;Gdansk;369000.0;8585.0;42.98;2.0;0.0
6671;Gdansk;782000.0;16850.0;46.41;2.0;2.0
6670;Gdansk;448000.0;16321.0;27.45;1.0;0.0
6669;Gdansk;307008.0;7800.0;39.36;2.0;2.0
6668;Gdansk;452556.0;7800.0;58.02;3.0;1.0
6667;Gdansk;306930.0;7800.0;39.35;2.0;1.0
6666;Gdansk;396000.0;8426.0;47.0;3.0;1.0
6665;Gdansk;299000.0;9061.0;33.0;2.0;3.0
6664;Gdansk;419000.0;8729.0;48.0;3.0;0.0
6663;Gdansk;409900.0;5723.0;71.62;4.0;1.0
6662;Gdansk;379000.0;11398.0;33.25;1.0;1.0
6660;Gdansk;299000.0;3602.0;83.0;4.0;1.0
6659;Gdansk;319900.0;4681.0;68.34;4.0;2.0
6658;Gdansk;789000.0;12763.0;61.82;3.0;0.0
6657;Gdansk;477000.0;8739.0;54.58;3.0;0.0
6656;Gdansk;540000.0;5688.0;94.93;3.0;0.0
6655;Gdansk;313800.0;6000.0;52.3;3.0;0.0
6090;Gdansk;519000.0;8621.0;60.2;3.0;3.0
5783;Gdansk;783638.0;11800.0;66.41;3.0;4.0
5784;Gdansk;529000.0;9281.0;57.0;3.0;3.0
5785;Gdansk;1488000.0;8675.0;171.52;5.0;0.0
5813;Gdansk;859000.0;17129.0;50.15;2.0;3.0
5812;Gdansk;425000.0;11184.0;38.0;2.0;0.0
5811;Gdansk;599000.0;9065.0;66.08;3.0;2.0
5810;Gdansk;610000.0;9839.0;62.0;3.0;1.0
5809;Gdansk;835000.0;16968.0;49.21;2.0;2.0
5808;Gdansk;629000.0;11172.0;56.3;3.0;2.0
5807;Gdansk;385000.0;11287.0;34.11;1.0;1.0
5806;Gdansk;525000.0;10645.0;49.32;2.0;0.0
5805;Gdansk;783000.0;18205.0;43.01;2.0;1.0
5804;Gdansk;530000.0;12173.0;43.54;2.0;2.0
5803;Gdansk;762000.0;12350.0;61.7;3.0;6.0
5802;Gdansk;1099000.0;15258.0;72.03;3.0;1.0
5801;Gdansk;615000.0;10808.0;56.9;3.0;2.0
5876;Gdansk;1520000.0;6333.0;240.0;5.0;0.0
5800;Gdansk;489000.0;10724.0;45.6;2.0;2.0
5798;Gdansk;550000.0;15118.0;36.38;2.0;1.0
5797;Gdansk;415680.0;8000.0;51.96;3.0;1.0
5796;Gdansk;820000.0;13053.0;62.82;3.0;4.0
5795;Gdansk;512000.0;9143.0;56.0;3.0;2.0
5794;Gdansk;365000.0;12167.0;30.0;1.0;8.0
5793;Gdansk;469000.0;7817.0;60.0;3.0;3.0
5792;Gdansk;519000.0;10768.0;48.2;2.0;4.0
5791;Gdansk;499000.0;8034.0;62.11;3.0;0.0
5790;Gdansk;539900.0;10225.0;52.8;2.0;1.0
5789;Gdansk;499000.0;12171.0;41.0;2.0;1.0
5788;Gdansk;499000.0;12171.0;41.0;2.0;2.0
5787;Gdansk;548000.0;8998.0;60.9;3.0;1.0
5786;Gdansk;1095000.0;16969.0;64.53;3.0;0.0
5799;Gdansk;559000.0;8873.0;63.0;3.0;0.0
5877;Gdansk;615000.0;9905.0;62.09;3.0;3.0
5821;Gdansk;1399000.0;20574.0;68.0;3.0;10.0
5879;Gdansk;599000.0;11885.0;50.4;3.0;8.0
5973;Gdansk;439000.0;13437.0;32.67;2.0;1.0
5972;Gdansk;277777.0;9259.0;30.0;2.0;0.0
5969;Gdansk;649000.0;9908.0;65.5;3.0;3.0
5968;Gdansk;549000.0;8855.0;62.0;3.0;4.0
5967;Gdansk;833710.0;15850.0;52.6;2.0;4.0
5966;Gdansk;873000.0;15316.0;57.0;3.0;3.0
5965;Gdansk;680000.0;13178.0;51.6;3.0;1.0
5964;Gdansk;620000.0;11273.0;55.0;3.0;1.0
5963;Gdansk;749000.0;10866.0;68.93;3.0;1.0
5962;Gdansk;659000.0;8966.0;73.5;6.0;4.0
5961;Gdansk;658000.0;8989.0;73.2;6.0;3.0
5960;Gdansk;539000.0;10170.0;53.0;2.0;2.0
5959;Gdansk;459000.0;9256.0;49.59;3.0;3.0
5958;Gdansk;1197000.0;10096.0;118.56;5.0;3.0
5957;Gdansk;580000.0;9651.0;60.1;3.0;4.0
5956;Gdansk;2040000.0;30393.0;67.12;3.0;2.0
5955;Gdansk;679000.0;13580.0;50.0;2.0;3.0
5954;Gdansk;750000.0;14706.0;51.0;3.0;3.0
5953;Gdansk;539000.0;8836.0;61.0;3.0;2.0
5952;Gdansk;749000.0;14404.0;52.0;3.0;3.0
5951;Gdansk;419000.0;8736.0;47.96;2.0;2.0
5950;Gdansk;757500.0;16992.0;44.58;2.0;2.0
5949;Gdansk;625000.0;17756.0;35.2;2.0;0.0
5948;Gdansk;599000.0;12479.0;48.0;3.0;2.0
5947;Gdansk;519000.0;9268.0;56.0;3.0;3.0
5946;Gdansk;1299900.0;16088.0;80.8;3.0;2.0
5945;Gdansk;375000.0;12097.0;31.0;1.0;0.0
5974;Gdansk;415000.0;9101.0;45.6;2.0;3.0
5975;Gdansk;676000.0;13000.0;52.0;3.0;4.0
5976;Gdansk;489000.0;10124.0;48.3;2.0;2.0
5977;Gdansk;749000.0;10403.0;72.0;4.0;3.0
6006;Gdansk;438587.0;13545.0;32.38;1.0;6.0
6005;Gdansk;949000.0;17745.0;53.48;2.0;10.0
6004;Gdansk;903000.0;17282.0;52.25;2.0;0.0
6003;Gdansk;479000.0;15967.0;30.0;1.0;1.0
5878;Gdansk;625000.0;10488.0;59.59;3.0;2.0
6001;Gdansk;585000.0;10833.0;54.0;3.0;2.0
6000;Gdansk;520000.0;20000.0;26.0;1.0;4.0
5999;Gdansk;540000.0;9622.0;56.12;3.0;4.0
5998;Gdansk;581300.0;20226.0;28.74;1.0;3.0
5997;Gdansk;519000.0;9792.0;53.0;3.0;3.0
5996;Gdansk;489000.0;16804.0;29.1;1.0;10.0
5995;Gdansk;599000.0;10546.0;56.8;2.0;3.0
5994;Gdansk;755000.0;13246.0;57.0;3.0;0.0
5944;Gdansk;419000.0;11303.0;37.07;2.0;0.0
5993;Gdansk;1069000.0;15656.0;68.28;3.0;6.0
5991;Gdansk;429000.0;10725.0;40.0;2.0;3.0
5989;Gdansk;266000.0;9500.0;28.0;1.0;2.0
5988;Gdansk;600000.0;10000.0;60.0;3.0;1.0
5987;Gdansk;760000.0;21294.0;35.69;2.0;0.0
5986;Gdansk;360308.0;8450.0;42.64;2.0;3.0
5985;Gdansk;454909.0;9100.0;49.99;2.0;1.0
5984;Gdansk;1060000.0;19604.0;54.07;2.0;3.0
5983;Gdansk;1250000.0;13587.0;92.0;4.0;10.0
5982;Gdansk;630000.0;13938.0;45.2;2.0;0.0
5981;Gdansk;550000.0;11000.0;50.0;3.0;6.0
5980;Gdansk;1090300.0;14501.0;75.19;3.0;2.0
5979;Gdansk;790000.0;7745.0;102.0;4.0;1.0
5978;Gdansk;980000.0;17348.0;56.49;2.0;1.0
5992;Gdansk;920000.0;17658.0;52.1;3.0;0.0
5943;Gdansk;495000.0;9044.0;54.73;3.0;1.0
5970;Gdansk;479106.0;8600.0;55.71;3.0;1.0
5941;Gdansk;569000.0;12561.0;45.3;3.0;7.0
5907;Gdansk;1550000.0;20667.0;75.0;4.0;0.0
5906;Gdansk;795000.0;14324.0;55.5;3.0;1.0
5905;Gdansk;1098360.0;18000.0;61.02;3.0;2.0
5904;Gdansk;359000.0;9349.0;38.4;2.0;0.0
5903;Gdansk;370000.0;11974.0;30.9;1.0;9.0
5902;Gdansk;579000.0;10925.0;53.0;3.0;3.0
5901;Gdansk;619000.0;12316.0;50.26;2.0;1.0
5900;Gdansk;745000.0;23970.0;31.08;1.0;3.0
5899;Gdansk;549000.0;12767.0;43.0;2.0;4.0
5898;Gdansk;999000.0;16810.0;59.43;3.0;0.0
5897;Gdansk;720000.0;9243.0;77.9;2.0;3.0
5896;Gdansk;825000.0;12669.0;65.12;3.0;10.0
5895;Gdansk;1490000.0;15158.0;98.3;4.0;1.0
5908;Gdansk;499500.0;10650.0;46.9;2.0;2.0
5894;Gdansk;770000.0;14259.0;54.0;2.0;1.0
5892;Gdansk;950000.0;17304.0;54.9;2.0;1.0
5891;Gdansk;630000.0;11977.0;52.6;2.0;7.0
5890;Gdansk;599000.0;8095.0;74.0;4.0;0.0
5889;Gdansk;655000.0;9433.0;69.44;3.0;0.0
5888;Gdansk;650000.0;12500.0;52.0;3.0;1.0
5887;Gdansk;660000.0;11419.0;57.8;2.0;5.0
5886;Gdansk;599000.0;8706.0;68.8;3.0;3.0
5885;Gdansk;849000.0;16882.0;50.29;2.0;1.0
5884;Gdansk;499900.0;10498.0;47.62;2.0;2.0
5883;Gdansk;463000.0;7983.0;58.0;3.0;3.0
